epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
67,3101.19,1.25539,1.54521,1.18534,0.77764,0.53511,0.60655,0.4271,0.89403,0.85693,0.97979,0.003466,0.003466,0.003466
68,3146.96,1.23694,1.53709,1.17355,0.77554,0.53565,0.60693,0.42722,0.89358,0.85708,0.9794,0.003367,0.003367,0.003367
69,3192.67,1.23943,1.51724,1.16843,0.77348,0.53577,0.60713,0.42737,0.89304,0.85726,0.97915,0.003268,0.003268,0.003268
70,3238.97,1.22811,1.51982,1.16726,0.77372,0.53437,0.60656,0.42756,0.89204,0.85748,0.97879,0.003169,0.003169,0.003169
71,3284.52,1.22834,1.50767,1.16623,0.77494,0.53506,0.60734,0.42802,0.89192,0.85779,0.9787,0.00307,0.00307,0.00307
72,3330.43,1.229,1.52155,1.16898,0.77419,0.53677,0.60795,0.42821,0.8915,0.85841,0.97875,0.002971,0.002971,0.002971
73,3376.68,1.21514,1.50688,1.16486,0.77307,0.53786,0.60856,0.42844,0.89096,0.85924,0.97875,0.002872,0.002872,0.002872
74,3423.04,1.21894,1.50203,1.16453,0.77043,0.53833,0.60895,0.42862,0.89019,0.85993,0.97851,0.002773,0.002773,0.002773
75,3468.96,1.21464,1.50512,1.16327,0.77339,0.53771,0.6093,0.42836,0.88902,0.86101,0.97815,0.002674,0.002674,0.002674
76,3514.5,1.20497,1.501,1.15735,0.77321,0.53739,0.60959,0.42805,0.88853,0.86226,0.97819,0.002575,0.002575,0.002575
77,3559.39,1.19856,1.48344,1.15803,0.77232,0.53849,0.60976,0.42854,0.88837,0.86319,0.97817,0.002476,0.002476,0.002476
78,3605.02,1.19176,1.47615,1.15225,0.77335,0.53748,0.61046,0.4287,0.88783,0.86429,0.97795,0.002377,0.002377,0.002377
79,3650.71,1.18505,1.4808,1.15101,0.77056,0.53895,0.61072,0.42908,0.88684,0.86531,0.97763,0.002278,0.002278,0.002278
